state,park,parkcode,category,address,zipcode,phone
ohio,First Ladies,fila,National Historic Site,"Canton, OH",44702-2107,(330) 452-0876
ohio,Hopewell Culture,hocu,National Historical Park,"Chillicothe, OH",45601,(740) 774-1126
ohio,James A Garfield,jaga,National Historic Site,"Mentor, OH",44060,(440) 255-8722
ohio,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
ohio,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906
ohio,Perry's Victory & International Peace,pevi,Memorial,"Put-in-Bay, OH",43456,(419) 285-2184
ohio,William Howard Taft,wiho,National Historic Site,"Cincinnati, OH",45219,(513) 684-3262
oklahoma,Chickasaw,chic,National Recreation Area,"Sulphur, OK",73086,(580) 622-7234
oklahoma,Fort Smith,fosm,National Historic Site,"Fort Smith, AR",72901,(479) 783-3961
oklahoma,Oklahoma City,okci,National Memorial,"Oklahoma City, OK",73102-0676,(405) 609-8859
oklahoma,Santa Fe,safe,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
oklahoma,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
oklahoma,Washita Battlefield,waba,National Historic Site,"Cheyenne, OK",73628,(580) 497-2742
oregon,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
oregon,Crater Lake,crla,National Park,"Crater Lake, OR",97604,(541) 594-3000
oregon,Fort Vancouver,fova,National Historic Site,"Vancouver, WA",98661,(360) 816-6230
oregon,Ice Age Floods,iafl,National Geologic Trail,"Coulee Dam, WA",99116,(509) 237-9722
oregon,John Day Fossil Beds,joda,National Monument,"Kimberly, OR",97848,(541) 987-2333
oregon,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
oregon,Lewis and Clark,lewi,National Historical Park,"Astoria, OR",97103,(503) 861-2471
oregon,Nez Perce,nepe,National Historical Park,"Lapwai, ID",83540-9715,(208) 843-7001
oregon,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
oregon,Oregon Caves,orca,National Monument & Preserve,"Cave Junction, OR",97523,(541) 592-2100
pennsylvania,Allegheny Portage Railroad,alpo,National Historic Site,"Gallitzin, PA",16641,(814) 886-6150
pennsylvania,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
pennsylvania,Captain John Smith Chesapeake,cajo,National Historic Trail,"Yorktown, VA",23690,(757) 898-3400
pennsylvania,Chesapeake Bay,cbpo,,"Annapolis, MD",21403,(410) 260-2470
pennsylvania,Delaware Water Gap,dewa,National Recreation Area,"Bushkill, PA",18324,(570) 426-2452
pennsylvania,Edgar Allan Poe,edal,National Historic Site,"Philadelphia, PA",19106,215-965-2305
pennsylvania,Eisenhower,eise,National Historic Site,"Gettysburg, PA",17325,(717) 338-9114
pennsylvania,First State,frst,National Historical Park,"New Castle, DE",19720,(302) 544-6363
pennsylvania,Flight 93,flni,National Memorial,"Shanksville, PA",15560,(814) 893-6322
pennsylvania,Fort Necessity,fone,National Battlefield,"Farmington, PA",15437,(724) 329-5512
pennsylvania,Friendship Hill,frhi,National Historic Site,"Farmington, PA",15437,(724) 329-2501
pennsylvania,Gettysburg,gett,National Military Park,"Gettysburg, PA",17325,(717) 334-1124
pennsylvania,Gloria Dei Church,glde,National Historic Site,"Philadelphia, PA",19106,215-389-1513
pennsylvania,Hopewell Furnace,hofu,National Historic Site,"Elverson, PA",19520,(610) 582-8773
pennsylvania,Independence,inde,National Historical Park,"Philadelphia, PA",19106,215-965-2305
pennsylvania,Johnstown Flood,jofl,National Memorial,"South Fork, PA",15956,(814) 886-6171
pennsylvania,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
pennsylvania,Lower Delaware,lode,National Wild and Scenic River,"Philadelphia, PA",19106,215-597-6482
pennsylvania,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906
pennsylvania,Potomac Heritage,pohe,National Scenic Trail,"Washington, DC",20242,202-619-7154
pennsylvania,Steamtown,stea,National Historic Site,"Scranton, PA",18503-2018,570-340-5200
pennsylvania,Thaddeus Kosciuszko,thko,National Memorial,"Philadelphia, PA",19106,(215) 965-2305
pennsylvania,Upper Delaware,upde,Scenic & Recreational River,"Beach Lake, PA",18405,(570) 685-4871
pennsylvania,Valley Forge,vafo,National Historical Park,"King of Prussia, PA",19406,(610) 783-1000
pennsylvania,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006
puerto rico,San Juan,saju,National Historic Site,"San Juan, PR",00901,(787) 729-6777
rhode island,Blackstone River Valley,blrv,National Historical Park,"Providence, RI",02903,401-521-7266
rhode island,Roger Williams,rowi,National Memorial,"Providence, RI",02903,401-521-7266
rhode island,Touro Synagogue,tosy,National Historic Site,"Newport, RI",02840,(401) 847-4794
rhode island,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006
south carolina,Charles Pinckney,chpi,National Historic Site,"Sullivan's Island, SC",29482,(843) 881-5516
south carolina,Congaree,cong,National Park,"Hopkins, SC",29061,(803) 776-4396
south carolina,Cowpens,cowp,National Battlefield,"Gaffney, SC",29341,(864) 461-2828
south carolina,Fort Sumter and Fort Moultrie,fosu,National Historical Park,"Sullivan's Island, SC",29482,(843) 883-3123
south carolina,Kings Mountain,kimo,National Military Park,"Blacksburg, SC",29702,(864) 936-7921
south carolina,Ninety Six,nisi,National Historic Site,"Ninety Six, SC",29666,(864) 543-4068
south carolina,Overmountain Victory,ovvi,National Historic Trail,"Gaffney, SC",29341,(864) 461-2828
south carolina,Reconstruction Era,reer,National Historical Park,"Beaufort, SC",29902,(843) 962-0039
south dakota,Badlands,badl,National Park,"Interior, SD",57750,(605) 433-5361
south dakota,Jewel Cave,jeca,National Monument,"Custer, SD",57730,(605) 673-8300
south dakota,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
south dakota,Minuteman Missile,mimi,National Historic Site,"Philip, SD",57567,(605) 433-5552
south dakota,Missouri,mnrr,National Recreational River,"Yankton, SD",57078,605-665-0209
south dakota,Mount Rushmore,moru,National Memorial,"Keystone, SD",57751,(605) 574-2523
south dakota,Wind Cave,wica,National Park,"Hot Springs, SD",57747,(605) 745-4600
tennessee,Andrew Johnson,anjo,National Historic Site,"Greeneville, TN",37743,(423) 638-3551
tennessee,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
tennessee,Big South Fork,biso,National River & Recreation Area,"Oneida, TN",37841,(423) 569-9778
tennessee,Chickamauga & Chattanooga,chch,National Military Park,"Fort Oglethorpe, GA",30742,706-866-9241
tennessee,Cumberland Gap,cuga,National Historical Park,"Middlesboro, KY",40965,(606) 248-2817
tennessee,Fort Donelson,fodo,National Battlefield,"Dover, TN",37058,931-232-5706
tennessee,Great Smoky Mountains,grsm,National Park,"Gatlinburg, TN",37738,(865) 436-1200
tennessee,Manhattan Project,mapr,National Historical Park,"Denver, CO",80225-0287,(505) 661-6277
tennessee,Natchez Trace,natr,Parkway,"Tupelo, MS",38804,(800) 305-7417
tennessee,Natchez Trace,natt,National Scenic Trail,"Tupelo, MS",38804,18003057417
tennessee,Obed,obed,Wild & Scenic River,"Wartburg, TN",37887,(423) 346-6294
tennessee,Overmountain Victory,ovvi,National Historic Trail,"Gaffney, SC",29341,(864) 461-2828
tennessee,Shiloh,shil,National Military Park,"Shiloh, TN",38376,(731) 689-5696
tennessee,Stones River,stri,National Battlefield,"Murfreesboro, TN",37129,615-893-9501
tennessee,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
texas,Alibates Flint Quarries,alfl,National Monument,"Fritch, TX",79036,(806) 857-6680
texas,Amistad,amis,National Recreation Area,"Del Rio, TX",78840,(830)775-7491
texas,Big Bend,bibe,National Park,"Big Bend National Park, TX",79834-0129,432-477-2251
texas,Big Thicket,bith,National Preserve,"Kountze, TX",77625,409-951-6700
texas,Chamizal,cham,National Memorial,"El Paso, TX",79905,915-532-7273
texas,El Camino Real de los Tejas,elte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
texas,El Camino Real de Tierra Adentro,elca,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
texas,Fort Davis,foda,National Historic Site,"Fort Davis, TX",79734,(432) 426-3224
texas,Guadalupe Mountains,gumo,National Park,"Salt Flat, TX",79847,915-828-3251
texas,Lake Meredith,lamr,National Recreation Area,"Fritch, TX",79036,(806) 857-3151
texas,Lyndon B Johnson,lyjo,National Historical Park,"Johnson City, TX",78636,(830) 868-7128
texas,Padre Island,pais,National Seashore,"Corpus Christi, TX",78480,(361) 949-8068
texas,Palo Alto Battlefield,paal,National Historical Park,"Brownsville, TX",78520,(956) 541-2785
texas,Rio Grande,rigr,Wild & Scenic River,"Big Bend National Park, TX",79834,(432) 477-2251
texas,San Antonio Missions,saan,National Historical Park,"San Antonio, TX",78210,(210) 932-1001
texas,Waco Mammoth,waco,National Monument,"Waco, TX",76708,(254) 750-7946
utah,Arches,arch,National Park,"Moab, UT",84532,(435) 719-2299
utah,Bryce Canyon,brca,National Park,"Bryce, UT",84764,(435) 834-5322
utah,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
utah,Canyonlands,cany,National Park,"Moab, UT",84532,435-719-2313
utah,Capitol Reef,care,National Park,"Torrey, UT",84775,435-425-3791
utah,Cedar Breaks,cebr,National Monument,"Cedar City, UT",84720,(435) 986-7120
utah,Dinosaur,dino,National Monument,"Dinosaur, CO",81610,(435) 781-7700
utah,Glen Canyon,glca,National Recreation Area,"Page, AZ",86040,(928) 608-6200
utah,Golden Spike,gosp,National Historical Park,"Brigham City, UT",84302,(435) 471-2209
utah,Hovenweep,hove,National Monument,"Cortez, CO",81321,(970) 562-4282
utah,Mormon Pioneer,mopi,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
utah,Natural Bridges,nabr,National Monument,"Lake Powell, UT",84533-0001,(435) 692-1234
utah,Old Spanish,olsp,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
utah,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
utah,Rainbow Bridge,rabr,National Monument,"Page, AZ",86040,(928) 608-6200
utah,Timpanogos Cave,tica,National Monument,"American Fork, UT",84003,(801)756-5239
utah,Zion,zion,National Park,"Springdale, UT",84767,435-772-3256
vermont,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
vermont,Marsh - Billings - Rockefeller,mabi,National Historical Park,"Woodstock, VT",05091,(802) 457-3368
vermont,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906
virgin islands,Buck Island Reef,buis,National Monument,"Christiansted, St. Croix, VI",00820,(340) 773.1460
virgin islands,Christiansted,chri,National Historic Site,"Christiansted, VI",00820,(340) 773.1460
virgin islands,Salt River Bay,sari,National Historical Park and Ecological Preserve,"Christiansted, VI",00820,(340) 773.1460
virgin islands,Virgin Islands,viis,National Park,"St. John, VI",00830,(340) 776-6201
virgin islands,Virgin Islands Coral Reef,vicr,National Monument,"St. John, VI",00830,(340) 776-6201
virginia,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
virginia,Appomattox Court House,apco,National Historical Park,"Appomattox, VA",24522,(434) 352-8987
virginia,"Arlington House, The Robert  E. Lee Memorial",arho,,"McLean, VA",22101,(703) 235-1530
virginia,Assateague Island,asis,National Seashore,"Berlin, MD",21811,(410) 641-1441
virginia,Blue Ridge,blri,Parkway,"Asheville, NC",28803,(828) 348-3400
virginia,Booker T Washington,bowa,National Monument,"Hardy, VA",24101,(540) 721-2094
virginia,Cape Henry Memorial,came,Part of Colonial National Historical Park,"Yorktown, VA",23690,(757) 898-2410
virginia,Captain John Smith Chesapeake,cajo,National Historic Trail,"Yorktown, VA",23690,(757) 898-3400
virginia,Cedar Creek & Belle Grove,cebe,National Historical Park,"Middletown, VA",22645,540-869-3051
virginia,Chesapeake Bay,cbpo,,"Annapolis, MD",21403,(410) 260-2470
virginia,Civil War Defenses of Washington,cwdw,,"Washington, DC",20008,202-829-2163
virginia,Colonial,colo,National Historical Park,"Yorktown, VA",23690,(757) 898-3400
virginia,Cumberland Gap,cuga,National Historical Park,"Middlesboro, KY",40965,(606) 248-2817
virginia,Fort Monroe,fomr,National Monument,"Fort Monroe, VA",23651-1001,757-722-FORT (3678)
virginia,Fredericksburg & Spotsylvania,frsp,National Military Park,"Fredericksburg, VA",22405,(540) 693-3200
virginia,George Washington,gwmp,Memorial Parkway,"McLean, VA",22101,(703) 289-2500
virginia,George Washington Birthplace,gewa,National Monument,"Colonial Beach, VA",22443,(804) 224-1732
virginia,Great Falls,grfa,Park,"McLean, VA",22101,(703) 757-3101
virginia,Green Springs,grsp,,"Multiple Privately Owned Properties, VA",23093,(540) 693-3200
virginia,Harpers Ferry,hafe,National Historical Park,"Harpers Ferry, WV",25425,(304) 535-6029
virginia,Historic Jamestowne,jame,Part of Colonial National Historical Park,"Yorktown, VA",23690,757-898-3400
virginia,Maggie L Walker,mawa,National Historic Site,"Richmond, VA",23223,(804) 771-2017
virginia,Manassas,mana,National Battlefield Park,"Manassas, VA",20109,(703) 361-1339
virginia,Overmountain Victory,ovvi,National Historic Trail,"Gaffney, SC",29341,(864) 461-2828
virginia,Petersburg,pete,National Battlefield,"Petersburg, VA",23803,(804) 732-3531
virginia,Potomac Heritage,pohe,National Scenic Trail,"Washington, DC",20242,202-619-7154
virginia,Prince William Forest,prwi,Park,"Triangle, VA",22172,(703) 221-7181
virginia,Richmond,rich,National Battlefield Park,"Richmond, VA",23223,(804) 226-1981
virginia,Shenandoah,shen,National Park,"Luray, VA",22835,(540) 999-3500
virginia,Star-Spangled Banner,stsp,National Historic Trail,"Baltimore, MD",21230,410.962.4290
virginia,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006
virginia,Wolf Trap National Park for the Performing Arts,wotr,,"Vienna, VA",22182-1643,(703) 255-1800
virginia,Yorktown Battlefield,york,Part of Colonial National Historical Park,"Yorktown, VA",23690,(757) 898-2410
washington,Ebey's Landing,ebla,National Historical Reserve,"Coupeville, WA",98239,(360) 678-6084
washington,Fort Vancouver,fova,National Historic Site,"Vancouver, WA",98661,(360) 816-6230
washington,Ice Age Floods,iafl,National Geologic Trail,"Coulee Dam, WA",99116,(509) 237-9722
washington,Klondike Gold Rush - Seattle Unit,klse,National Historical Park,"Seattle, WA",98104,(206) 220-4240
washington,Lake Roosevelt,laro,National Recreation Area,"Coulee Dam, WA",99116,509-754-7800
washington,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
washington,Lewis and Clark,lewi,National Historical Park,"Astoria, OR",97103,(503) 861-2471
washington,Manhattan Project,mapr,National Historical Park,"Denver, CO",80225-0287,(505) 661-6277
washington,Minidoka,miin,National Historic Site,"Hagerman, ID",83332,208-825-4169
washington,Monte Rainier,es-es,Parque nacional,"Ashford, WA",98304,(360) 569-2211
washington,Mount Rainier,mora,National Park,"Ashford, WA",98304,(360) 569-2211
washington,Nez Perce,nepe,National Historical Park,"Lapwai, ID",83540-9715,(208) 843-7001
washington,North Cascades,noca,National Park,"Sedro-Woolley, WA",98284,(360) 854-7200
washington,Olympic,olym,National Park,"Port Angeles, WA",98362,(360) 565-3130
washington,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
washington,San Juan Island,sajh,National Historical Park,"Friday Harbor, WA",98250,(360) 378-2240
washington,Whitman Mission,whmi,National Historic Site,"Walla Walla, WA",99362,(509) 522-6360
washington,Wing Luke Museum,wing,Affiliated Area,"Seattle, WA",98104,206.623.5124
west virginia,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278
west virginia,Bluestone,blue,National Scenic River,"Glen Jean, WV",25846,(304) 465-0508
west virginia,Chesapeake & Ohio Canal,choh,National Historical Park,"Hagerstown, MD",21740,301-739-4200
west virginia,Chesapeake Bay,cbpo,,"Annapolis, MD",21403,(410) 260-2470
west virginia,Gauley River,gari,National Recreation Area,"Glen Jean, WV",25846-0246,(304) 465-0508
west virginia,Harpers Ferry,hafe,National Historical Park,"Harpers Ferry, WV",25425,(304) 535-6029
west virginia,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804
west virginia,New River Gorge,neri,National Park and Preserve,"Glen Jean, WV",25846,(304) 465-0508
wisconsin,Apostle Islands,apis,National Lakeshore,"Bayfield, WI",54814,(715) 779-3397
wisconsin,Ice Age,iatr,National Scenic Trail,"Cross Plains, WI",53528,608-798-8700
wisconsin,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906
wisconsin,Saint Croix,sacn,National Scenic Riverway,"St. Croix Falls, WI",54024,(715) 483-2274
wyoming,Bighorn Canyon,bica,National Recreation Area,"Lovell, WY",82431,(307) 548-5406
wyoming,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
wyoming,Devils Tower,deto,National Monument,"Devils Tower, WY",82714,(307) 467-5283
wyoming,Fort Laramie,fola,National Historic Site,"Fort Laramie, WY",82212,(307) 837-2221
wyoming,Fossil Butte,fobu,National Monument,"Kemmerer, WY",83101,(307) 877-4455
wyoming,Grand Teton,grte,National Park,"Moose, WY",83012,307-739-3399
wyoming,Mormon Pioneer,mopi,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
wyoming,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
wyoming,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098
wyoming,Yellowstone,yell,National Park,"Yellowstone National Park, WY",82190-0168,307-344-7381
